S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
400,2020-11-19,979,232275,156080501,683,664,670
401,2020-11-22,1102,259501,178025620,694,671,691
402,2020-11-23,979,214571,147975808,699,686,687
403,2020-11-24,2291,538774,373386505,720,687,697
404,2020-11-25,1889,309672,192996761,640,605,634
405,2020-11-26,1205,235735,149333909,650,623,624
406,2020-11-29,1256,311229,200999777,678,626,660
407,2020-11-30,871,193860,128146664,692,644,647
408,2020-12-01,781,170189,108430082,655,630,632
409,2020-12-02,689,199988,129755038,688,630,653
410,2020-12-03,565,141764,91700630,660,637,644
411,2020-12-06,614,158242,100157792,644,623,623
412,2020-12-07,664,148276,93158756,636,620,633
413,2020-12-08,517,128794,81229198,664,625,626
414,2020-12-09,585,127221,78568575,626,611,612
415,2020-12-10,439,104431,64388391,621,608,616
416,2020-12-13,991,236248,151067309,652,620,650
417,2020-12-14,1209,337934,223504525,673,648,667
418,2020-12-15,930,284988,191974002,680,667,672
419,2020-12-16,529,170003,113945815,700,665,669
420,2020-12-17,1332,349388,238611164,699,665,690
421,2020-12-20,2871,674434,479739945,749,671,707
422,2020-12-21,2815,605883,448081210,777,699,777
423,2020-12-22,2167,555811,468134172,854,814,854
424,2020-12-23,1959,381481,330372542,920,825,852
425,2020-12-24,1631,390680,322553517,863,813,827
426,2020-12-27,1463,329040,268546584,836,805,810
427,2020-12-28,1547,359860,300668927,854,801,854
428,2020-12-29,894,176925,150659167,863,840,842
429,2020-12-30,1437,370286,322365443,881,835,870
430,2020-12-31,1268,304296,270011444,898,870,882
431,2021-01-03,1236,304366,273796779,908,892,899
432,2021-01-04,1010,234042,210570290,913,885,892
433,2021-01-05,721,184653,163977774,899,880,883
434,2021-01-06,529,110605,98268937,899,882,892
435,2021-01-07,1159,250027,226100607,916,890,908
436,2021-01-10,981,194033,179425191,935,910,927
437,2021-01-11,707,176512,163009521,963,912,915
438,2021-01-12,564,135414,123833420,950,907,918
439,2021-01-13,595,174132,159386980,936,907,912
440,2021-01-17,989,254035,229024879,925,896,901
