S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
218,2019-11-27,87,9835,17454090,1790,1755,1788
219,2019-11-26,19,1240,2167690,1755,1735,1750
220,2019-11-25,41,2910,5010130,1764,1704,1740
221,2019-11-24,47,3213,5580781,1750,1730,1735
222,2019-11-21,39,3740,6555125,1790,1750,1750
223,2019-11-20,62,4972,8812292,1800,1760,1760
224,2019-11-19,45,6274,11036130,1805,1750,1765
225,2019-11-18,48,2199,3896161,1800,1757,1774
226,2019-11-17,87,6730,12019896,1805,1770,1784
227,2019-11-14,62,7390,13305930,1815,1790,1799
228,2019-11-13,87,5018,9057818,1835,1778,1780
229,2019-11-12,402,38723,69740358,1866,1632,1839
230,2019-11-11,28,1510,2555660,1710,1632,1710
231,2019-11-10,15,2070,3123100,1555,1500,1555
232,2019-11-07,12,620,939410,1601,1508,1519
233,2019-11-06,25,1318,2046525,1580,1521,1525
234,2019-11-05,34,5280,7989390,1540,1500,1539
235,2019-11-04,6,348,514665,1480,1470,1480
236,2019-11-03,6,330,480210,1461,1445,1453
237,2019-10-31,7,835,1223630,1499,1457,1490
238,2019-10-24,11,723,1063614,1498,1443,1470
239,2019-10-23,9,1055,1531395,1464,1436,1451
240,2019-10-22,6,350,500180,1458,1425,1458
241,2019-10-21,13,457,648530,1450,1402,1402
242,2019-10-20,13,465,673255,1460,1430,1430
243,2019-10-17,2,47,68879,1477,1450,1477
244,2019-10-14,2,35,51425,1490,1461,1461
245,2019-10-03,3,130,192100,1480,1470,1470
246,2019-10-02,12,580,858350,1490,1465,1465
247,2019-10-01,7,7300,10687720,1465,1450,1451
248,2019-09-30,2,150,216500,1445,1440,1445
249,2019-09-29,8,455,647105,1440,1405,1417
250,2019-09-26,10,565,808695,1457,1405,1428
251,2019-09-25,2,50,71520,1431,1430,1430
252,2019-09-24,11,1015,1455805,1470,1431,1431
253,2019-09-23,6,455,666455,1473,1445,1473
254,2019-09-22,17,1331,1933404,1494,1445,1445
255,2019-09-19,13,827,1241720,1520,1492,1492
256,2019-09-18,28,2205,3349280,1540,1504,1536
257,2019-09-17,15,515,749510,1504,1400,1504
258,2019-09-16,22,860,1203020,1423,1365,1392
259,2019-09-15,19,790,1129480,1445,1423,1423
260,2019-09-12,21,915,1342250,1474,1450,1450
261,2019-09-11,1,50,74700,1494,1494,1494
262,2019-09-10,7,200,296780,1524,1470,1524
263,2019-09-10,7,200,296780,1524,1470,1524
264,2019-09-05,14,750,1129930,1543,1500,1500
265,2019-09-04,26,2050,3089420,1535,1500,1500
266,2019-09-03,22,3332,4996430,1530,1472,1530
267,2019-09-02,7,460,685540,1502,1480,1480
268,2019-09-01,35,4230,6358900,1553,1500,1505
269,2019-08-29,5,310,482265,1565,1553,1553
270,2019-08-28,12,855,1342530,1618,1550,1550
271,2019-08-27,27,2355,3754650,1607,1580,1606
272,2019-08-26,4,386,600124,1560,1550,1560
273,2019-08-25,11,3685,5727590,1555,1551,1551
274,2019-08-22,6,1325,2058205,1578,1551,1578
275,2019-08-21,5,242,376260,1556,1554,1555
276,2019-08-20,15,620,970750,1597,1560,1560
277,2019-08-19,8,304,482160,1590,1577,1577
278,2019-08-18,19,1360,2187700,1649,1600,1600
279,2019-08-15,35,2008,3192167,1637,1559,1600
280,2019-08-14,3,110,168440,1544,1530,1544
281,2019-08-13,7,410,623230,1548,1518,1518
282,2019-08-12,10,600,902780,1525,1496,1496
283,2019-08-11,13,815,1233010,1529,1501,1501
284,2019-08-08,8,390,592590,1535,1518,1535
285,2019-08-07,16,1010,1538530,1535,1520,1520
286,2019-08-05,10,830,1286480,1561,1544,1544
287,2019-08-04,9,620,977180,1598,1575,1575
288,2019-08-01,14,498,793722,1614,1578,1606
289,2019-07-31,11,420,662910,1596,1575,1578
290,2019-07-30,1,10,15750,1575,1575,1575
291,2019-07-29,29,1440,2233625,1580,1515,1562
292,2019-07-28,10,450,710890,1585,1576,1576
293,2019-07-25,29,3110,4955140,1618,1585,1614
294,2019-07-24,9,710,1140510,1630,1600,1629
295,2019-07-23,17,1675,2701230,1625,1604,1610
296,2019-07-22,35,2937,4808596,1650,1617,1635
297,2019-07-21,1,960,1585920,1652,1652,1652
298,2019-07-17,3,170,280840,1652,1652,1652
299,2019-07-16,19,1059,1758601,1679,1650,1670
300,2019-07-15,3,235,390365,1674,1660,1665
301,2019-07-14,10,515,852565,1675,1650,1650
302,2019-07-11,11,1020,1686070,1665,1651,1665
303,2019-07-10,10,1125,1868775,1670,1656,1656
304,2019-07-09,6,405,680950,1700,1666,1680
305,2019-07-08,24,3305,5588400,1715,1680,1680
306,2019-07-07,30,3195,5412295,1710,1678,1685
307,2019-07-04,43,7425,12387655,1686,1660,1678
308,2019-07-03,19,2495,4174780,1686,1666,1677
309,2019-07-02,12,1385,2329765,1689,1675,1675
310,2019-07-01,46,7470,12605990,1707,1675,1680
311,2019-06-30,78,15360,26004730,1729,1675,1683
312,2019-06-27,205,89770,149771500,1729,1657,1723
313,2019-06-26,120,117345,194273430,1705,1655,1690
314,2019-06-25,5,350,589110,1715,1673,1673
315,2019-06-24,3,540,912100,1700,1670,1700
316,2019-06-23,13,1300,2193805,1710,1666,1666
317,2019-06-20,12,1000,1715480,1754,1700,1710
318,2019-06-19,3,610,1047100,1720,1700,1720
319,2019-06-18,2,30,51170,1727,1695,1727
320,2019-06-17,4,90,153570,1729,1680,1729
321,2019-06-16,13,1337,2267540,1711,1678,1678
322,2019-06-13,10,810,1408370,1751,1716,1744
323,2019-06-12,15,1025,1769495,1740,1717,1717
324,2019-06-11,43,5325,9337775,1780,1710,1750
325,2019-06-10,28,2425,4147295,1734,1680,1734
326,2019-06-06,11,715,1186970,1675,1652,1652
327,2019-06-04,14,520,867890,1683,1650,1680
328,2019-06-03,22,990,1646790,1690,1650,1650
329,2019-06-02,18,550,924390,1724,1653,1715
330,2019-05-30,56,3010,5270025,1842,1681,1720
331,2019-05-29,44,5826,10060213,1755,1600,1755
332,2019-05-28,40,2650,4430210,1713,1596,1596
333,2019-05-27,39,2685,4600380,1742,1680,1680
334,2019-05-26,197,14371,25425245,1974,1666,1666
335,2019-05-23,134,39065,70334230,1845,1748,1809
336,2019-05-22,93,6522,11805584,1871,1780,1780
337,2019-05-21,125,9730,19050150,2065,1880,1908
338,2019-05-20,240,41624,82976711,2070,1955,1999
339,2019-05-19,47,14840,28215075,1958,1870,1949
340,2019-05-16,13,1240,2276190,1920,1789,1920
341,2019-05-15,13,290,571620,2035,1883,1883
342,2019-05-14,18,770,1538970,2044,1950,2004
343,2019-05-13,44,1789,3437729,2018,1863,1934
344,2019-05-12,31,1270,2497635,2068,1860,2059
345,2019-05-09,67,3553,6778851,1996,1813,1955
346,2019-05-08,33,1444,2576195,1815,1683,1815
347,2019-05-07,24,1955,3080450,1650,1519,1650
348,2019-05-06,11,450,668840,1500,1480,1500
349,2019-05-05,10,1025,1490560,1479,1450,1454
350,2019-05-02,13,1272,1802226,1479,1405,1479
351,2019-04-30,3,45,63200,1405,1405,1405
352,2019-04-29,5,160,223850,1428,1392,1428
353,2019-04-28,12,785,1107780,1433,1370,1420
354,2019-04-25,4,400,553500,1395,1380,1395
355,2019-04-24,5,170,233620,1380,1370,1380
356,2019-04-23,3,250,340790,1399,1360,1399
357,2019-04-22,6,280,378090,1352,1350,1350
358,2019-04-21,2,20,27450,1373,1372,1372
359,2019-04-18,5,840,1176280,1407,1400,1400
360,2019-04-17,5,450,617320,1380,1346,1380
361,2019-04-16,8,610,833470,1385,1365,1366
362,2019-04-15,3,240,333470,1390,1377,1390
363,2019-04-10,3,140,187000,1350,1330,1350
364,2019-04-08,3,120,159720,1335,1330,1335
365,2019-04-07,1,10,13410,1341,1341,1341
366,2019-04-04,3,30,40960,1366,1364,1366
367,2019-04-03,2,70,94050,1345,1340,1340
368,2019-04-01,2,80,110580,1389,1362,1362
369,2019-03-31,9,360,491030,1382,1345,1382
370,2019-03-26,1,50,67500,1350,1350,1350
371,2019-03-25,1,10,13550,1355,1355,1355
372,2019-03-24,2,195,260325,1335,1335,1335
373,2019-03-21,3,70,96070,1377,1355,1355
374,2019-03-19,4,240,324100,1351,1350,1350
375,2019-03-18,3,240,330380,1377,1375,1377
376,2019-03-17,3,80,108210,1357,1350,1350
377,2019-03-14,2,20,26890,1358,1331,1331
378,2019-03-13,4,400,543600,1414,1332,1332
379,2019-03-12,3,51,70987,1414,1360,1414
380,2019-03-11,2,150,203900,1360,1343,1360
381,2019-03-07,10,440,584220,1343,1317,1343
382,2019-03-06,3,1095,1434745,1337,1310,1337
383,2019-03-05,6,597,782190,1320,1280,1320
384,2019-03-03,1,10,13060,1321,1306,1306
385,2019-02-27,6,484,637360,1323,1310,1321
386,2019-02-26,5,130,172650,1377,1323,1323
387,2019-02-25,2,20,27270,1377,1327,1377
388,2019-02-24,4,250,337510,1355,1327,1327
389,2019-02-21,4,261,354854,1409,1354,1354
390,2019-02-20,1,10,14090,1409,1382,1409
391,2019-02-19,4,110,147720,1382,1328,1382
392,2019-02-18,2,20,26860,1355,1305,1355
393,2019-02-17,8,905,1183675,1325,1305,1305
394,2019-02-14,4,70,93050,1367,1325,1325
395,2019-02-13,2,150,207750,1394,1367,1367
396,2019-02-12,28,1700,2360255,1417,1340,1367
